Name,Kingdom,Phylum,Class,Order,Family,Genus,Species,Strain,251_CP04618_S118,252_CP04618_S119,253_CP04618_S120,254_CP04618_S150,255_CP04618_merge,256_CP04618_S121,257_CP04618_merge,258_CP04618_merge,259_CP04618_S122,260_CP04618_S154,261_CP04618_S123,262_CP04618_S124,263_CP04618_S155,264_CP04618_S125,265_CP04618_S126,266_CP04618_S156,267_CP04618_merge,268_CP04618_S127,269_CP04618_S128,270_CP04618_merge,271_CP04618_merge,272_CP04618_S160,273_CP04618_S129,274_CP04618_S130,Taxonomy Id,Taxonomy Lineage
Abiotrophia defectiva ATCC 49176,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,Abiotrophia defectiva,Abiotrophia defectiva ATCC 49176,0,0,3233.09,0,0,3934.71,1143.86,0,0,0,0,0,0,0,605.94,0,0,0,807.19,515.45,0,0,0,0,592010,k__Bacteria(2);p__Firmicutes(1239);c__Bacilli(91061);o__Lactobacillales(186826);f__Aerococcaceae(186827);g__Abiotrophia(46123);s__Abiotrophia defectiva(46125);t__Abiotrophia defectiva ATCC 49176(592010);
Abiotrophia sp. HMSC24B09,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,Abiotrophia_u_s,Abiotrophia sp. HMSC24B09,0,0,5678.2,80.92,0,5566.94,1666.3,0,0,0,0,0,0,0,1027.03,0,0,0,650.83,439.81,0,0,0,0,1581061,k__Bacteria(2);p__Firmicutes(1239);c__Bacilli(91061);o__Lactobacillales(186826);f__Aerococcaceae(186827);g__Abiotrophia(46123);s__Abiotrophia_u_s(46123);t__Abiotrophia sp. HMSC24B09(1581061);
Actinobaculum sp. oral taxon 183 str. F0552,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinobaculum,Actinobaculum_u_s,Actinobaculum sp. oral taxon 183 str. F0552,0,0,254.85,142.76,0,273.11,0,0,81.59,0,0,0,0,0,0,0,0,0,0,81.4,0,0,0,0,1227261,k__Bacteria(2);p__Actinobacteria(201174);c__Actinomycetia(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Actinobaculum(76833);s__Actinobaculum_u_s(76833);t__Actinobaculum sp. oral taxon 183 str. F0552(1227261);
Actinomyces bouchesdurhonensis,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces bouchesdurhonensis,Actinomyces bouchesdurhonensis,0,0,0,571.51,118.8,325.45,77.92,0,3904.87,581.82,0,172.81,0,0,5674.12,451.24,162.26,86.35,962.17,1292.1,0,0,0,86.88,1852361,k__Bacteria(2);p__Actinobacteria(201174);c__Actinomycetia(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Actinomyces(1654);s__Actinomyces bouchesdurhonensis(1852361);t__Actinomyces bouchesdurhonensis(1852361);
Schaalia cardiffensis F0333,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Schaalia,Schaalia cardiffensis,Schaalia cardiffensis F0333,0,0,0,84,0,0,103.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,888050,k__Bacteria(2);p__Actinobacteria(201174);c__Actinomycetia(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Schaalia(2529408);s__Schaalia cardiffensis(181487);t__Schaalia cardiffensis F0333(888050);
Actinomyces dentalis DSM 19115,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces dentalis,Actinomyces dentalis DSM 19115,0,0,110.14,144.91,0,237.57,0,0,3590.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120941,k__Bacteria(2);p__Actinobacteria(201174);c__Actinomycetia(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Actinomyces(1654);s__Actinomyces dentalis(272548);t__Actinomyces dentalis DSM 19115(1120941);
Schaalia georgiae,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Schaalia,Schaalia georgiae,Schaalia georgiae,0,0,0,0,0,0,0,0,230.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52768,k__Bacteria(2);p__Actinobacteria(201174);c__Actinomycetia(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Schaalia(2529408);s__Schaalia georgiae(52768);t__Schaalia georgiae(52768);
Actinomyces gerencseriae DSM 6844,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces gerencseriae,Actinomyces gerencseriae DSM 6844,0,0,155.46,90.73,0,1521.23,133.76,0,394.23,0,0,0,0,0,0,0,0,0,93.05,0,0,0,0,0,1120943,k__Bacteria(2);p__Actinobacteria(201174);c__Actinomycetia(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Actinomyces(1654);s__Actinomyces gerencseriae(52769);t__Actinomyces gerencseriae DSM 6844(1120943);
Actinomyces graevenitzii,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces graevenitzii,Actinomyces graevenitzii,177.53,0,0,0,0,0,0,179.05,0,0,0,0,125.03,0,0,0,177.54,79.89,0,0,0,0,0,0,55565,k__Bacteria(2);p__Actinobacteria(201174);c__Actinomycetia(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Actinomyces(1654);s__Actinomyces graevenitzii(55565);t__Actinomyces graevenitzii(55565);
Actinomyces graevenitzii C83,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces graevenitzii,Actinomyces graevenitzii C83,0,0,0,201.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435830,k__Bacteria(2);p__Actinobacteria(201174);c__Actinomycetia(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Actinomyces(1654);s__Actinomyces graevenitzii(55565);t__Actinomyces graevenitzii C83(435830);
